"filename", "language", "Batch", "Markdown", "Python", "pip requirements", "Properties", "Log", "JSON", "PowerShell", "C++", "JavaScript", "reStructuredText", "C", "YAML", "XML", "Ini", "comment", "blank", "total"
"c:\nyxa\.venv\Lib\site-packages\PIL\ImagePalette.py", "Python", 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 43, 264
"c:\nyxa\.venv\Lib\site-packages\PIL\ImagePath.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 21
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageQt.py", "Python", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 35, 206
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageSequence.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 15, 87
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageShow.py", "Python", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 65, 348
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageStat.py", "Python", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 21, 130
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageTk.py", "Python", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 45, 285
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageTransform.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 24, 136
"c:\nyxa\.venv\Lib\site-packages\PIL\ImageWin.py", "Python", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 33, 232
"c:\nyxa\.venv\Lib\site-packages\PIL\ImtImagePlugin.py", "Python", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 22, 104
"c:\nyxa\.venv\Lib\site-packages\PIL\IptcImagePlugin.py", "Python", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 51, 236
"c:\nyxa\.venv\Lib\site-packages\PIL\Jpeg2KImagePlugin.py", "Python", 0, 0, 290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 69, 404
"c:\nyxa\.venv\Lib\site-packages\PIL\JpegImagePlugin.py", "Python", 0, 0, 610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 106, 869
"c:\nyxa\.venv\Lib\site-packages\PIL\JpegPresets.py", "Python", 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 3, 243
"c:\nyxa\.venv\Lib\site-packages\PIL\McIdasImagePlugin.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 79
"c:\nyxa\.venv\Lib\site-packages\PIL\MicImagePlugin.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 28, 108
"c:\nyxa\.venv\Lib\site-packages\PIL\MpegImagePlugin.py", "Python", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 21, 85
"c:\nyxa\.venv\Lib\site-packages\PIL\MpoImagePlugin.py", "Python", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 30, 185
"c:\nyxa\.venv\Lib\site-packages\PIL\MspImagePlugin.py", "Python", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 39, 201
"c:\nyxa\.venv\Lib\site-packages\PIL\PSDraw.py", "Python", 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 18, 231
"c:\nyxa\.venv\Lib\site-packages\PIL\PaletteFile.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 53
"c:\nyxa\.venv\Lib\site-packages\PIL\PalmImagePlugin.py", "Python", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 37, 227
"c:\nyxa\.venv\Lib\site-packages\PIL\PcdImagePlugin.py", "Python", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 67
"c:\nyxa\.venv\Lib\site-packages\PIL\PcfFontFile.py", "Python", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 62, 255
"c:\nyxa\.venv\Lib\site-packages\PIL\PcxImagePlugin.py", "Python", 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 47, 228
"c:\nyxa\.venv\Lib\site-packages\PIL\PdfImagePlugin.py", "Python", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 47, 304
"c:\nyxa\.venv\Lib\site-packages\PIL\PdfParser.py", "Python", 0, 0, 890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 94, 1009
"c:\nyxa\.venv\Lib\site-packages\PIL\PixarImagePlugin.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 20, 73
"c:\nyxa\.venv\Lib\site-packages\PIL\PngImagePlugin.py", "Python", 0, 0, 1018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 223, 1471
"c:\nyxa\.venv\Lib\site-packages\PIL\PpmImagePlugin.py", "Python", 0, 0, 261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 61, 372
"c:\nyxa\.venv\Lib\site-packages\PIL\PsdImagePlugin.py", "Python", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 67, 308
"c:\nyxa\.venv\Lib\site-packages\PIL\PyAccess.py", "Python", 0, 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 79, 366
"c:\nyxa\.venv\Lib\site-packages\PIL\QoiImagePlugin.py", "Python", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 112
"c:\nyxa\.venv\Lib\site-packages\PIL\SgiImagePlugin.py", "Python", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 49, 238
"c:\nyxa\.venv\Lib\site-packages\PIL\SpiderImagePlugin.py", "Python", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 59, 319
"c:\nyxa\.venv\Lib\site-packages\PIL\SunImagePlugin.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 28, 142
"c:\nyxa\.venv\Lib\site-packages\PIL\TarIO.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 15, 74
"c:\nyxa\.venv\Lib\site-packages\PIL\TgaImagePlugin.py", "Python", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 48, 264
"c:\nyxa\.venv\Lib\site-packages\PIL\TiffImagePlugin.py", "Python", 0, 0, 1499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 386, 300, 2185
"c:\nyxa\.venv\Lib\site-packages\PIL\TiffTags.py", "Python", 0, 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 31, 554
"c:\nyxa\.venv\Lib\site-packages\PIL\WalImageFile.py", "Python", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 125
"c:\nyxa\.venv\Lib\site-packages\PIL\WebPImagePlugin.py", "Python", 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 62, 371
"c:\nyxa\.venv\Lib\site-packages\PIL\WmfImagePlugin.py", "Python", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 44, 180
"c:\nyxa\.venv\Lib\site-packages\PIL\XVThumbImagePlugin.py", "Python", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 21, 82
"c:\nyxa\.venv\Lib\site-packages\PIL\XbmImagePlugin.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 28, 99
"c:\nyxa\.venv\Lib\site-packages\PIL\XpmImagePlugin.py", "Python", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 34, 129
"c:\nyxa\.venv\Lib\site-packages\PIL\__init__.py", "Python", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 9, 87
"c:\nyxa\.venv\Lib\site-packages\PIL\__main__.py", "Python", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"c:\nyxa\.venv\Lib\site-packages\PIL\_binary.py", "Python", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 32, 113
"c:\nyxa\.venv\Lib\site-packages\PIL\_deprecate.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 10, 72
"c:\nyxa\.venv\Lib\site-packages\PIL\_imaging.pyi", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\nyxa\.venv\Lib\site-packages\PIL\_imagingcms.pyi", "Python", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 146
"c:\nyxa\.venv\Lib\site-packages\PIL\_imagingft.pyi", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\nyxa\.venv\Lib\site-packages\PIL\_imagingmath.pyi", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\nyxa\.venv\Lib\site-packages\PIL\_imagingmorph.pyi", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\nyxa\.venv\Lib\site-packages\PIL\_tkinter_finder.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 22
"c:\nyxa\.venv\Lib\site-packages\PIL\_typing.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 34
"c:\nyxa\.venv\Lib\site-packages\PIL\_util.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 32
"c:\nyxa\.venv\Lib\site-packages\PIL\_version.py", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\nyxa\.venv\Lib\site-packages\PIL\_webp.pyi", "Python", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\nyxa\.venv\Lib\site-packages\PIL\features.py", "Python", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 62, 340
"c:\nyxa\.venv\Lib\site-packages\PIL\report.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"c:\nyxa\.venv\Lib\site-packages\_yaml\__init__.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 34
"c:\nyxa\.venv\Lib\site-packages\aiohappyeyeballs\__init__.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\nyxa\.venv\Lib\site-packages\aiohappyeyeballs\_staggered.py", "Python", 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 23, 208
"c:\nyxa\.venv\Lib\site-packages\aiohappyeyeballs\impl.py", "Python", 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 16, 260
"c:\nyxa\.venv\Lib\site-packages\aiohappyeyeballs\types.py", "Python", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 18
"c:\nyxa\.venv\Lib\site-packages\aiohappyeyeballs\utils.py", "Python", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 11, 98
"c:\nyxa\.venv\Lib\site-packages\aiohttp\__init__.py", "Python", 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 279
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\helpers.py", "Python", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 23, 148
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\models.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 85
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\reader.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 32
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\reader_c.py", "Python", 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 59, 477
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\reader_py.py", "Python", 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 59, 477
"c:\nyxa\.venv\Lib\site-packages\aiohttp\_websocket\writer.py", "Python", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 23, 179
"c:\nyxa\.venv\Lib\site-packages\aiohttp\abc.py", "Python", 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 60, 260
"c:\nyxa\.venv\Lib\site-packages\aiohttp\base_protocol.py", "Python", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 101
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client.py", "Python", 0, 0, 1270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 141, 184, 1595
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client_exceptions.py", "Python", 0, 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 105, 422
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client_middleware_digest_auth.py", "Python", 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 62, 419
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client_middlewares.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 56
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client_proto.py", "Python", 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 55, 309
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client_reqrep.py", "Python", 0, 0, 1068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 245, 207, 1520
"c:\nyxa\.venv\Lib\site-packages\aiohttp\client_ws.py", "Python", 0, 0, 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 58, 429
"c:\nyxa\.venv\Lib\site-packages\aiohttp\compression_utils.py", "Python", 0, 0, 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 55, 279
"c:\nyxa\.venv\Lib\site-packages\aiohttp\connector.py", "Python", 0, 0, 1172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 220, 1678
"c:\nyxa\.venv\Lib\site-packages\aiohttp\cookiejar.py", "Python", 0, 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 86, 496
"c:\nyxa\.venv\Lib\site-packages\aiohttp\formdata.py", "Python", 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 180
"c:\nyxa\.venv\Lib\site-packages\aiohttp\hdrs.py", "Python", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 122
"c:\nyxa\.venv\Lib\site-packages\aiohttp\helpers.py", "Python", 0, 0, 643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 179, 959
"c:\nyxa\.venv\Lib\site-packages\aiohttp\http.py", "Python", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 73
"c:\nyxa\.venv\Lib\site-packages\aiohttp\http_exceptions.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 36, 113
"c:\nyxa\.venv\Lib\site-packages\aiohttp\http_parser.py", "Python", 0, 0, 795, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 144, 1047
"c:\nyxa\.venv\Lib\site-packages\aiohttp\http_websocket.py", "Python", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 37
"c:\nyxa\.venv\Lib\site-packages\aiohttp\http_writer.py", "Python", 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 65, 379
"c:\nyxa\.venv\Lib\site-packages\aiohttp\log.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\nyxa\.venv\Lib\site-packages\aiohttp\multipart.py", "Python", 0, 0, 810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 171, 1142
"c:\nyxa\.venv\Lib\site-packages\aiohttp\payload.py", "Python", 0, 0, 551, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 409, 134, 1094
"c:\nyxa\.venv\Lib\site-packages\aiohttp\payload_streamer.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 16, 79
"c:\nyxa\.venv\Lib\site-packages\aiohttp\pytest_plugin.py", "Python", 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 80, 445
"c:\nyxa\.venv\Lib\site-packages\aiohttp\resolver.py", "Python", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 39, 274
"c:\nyxa\.venv\Lib\site-packages\aiohttp\streams.py", "Python", 0, 0, 509, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 141, 728
"c:\nyxa\.venv\Lib\site-packages\aiohttp\tcp_helpers.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 38
"c:\nyxa\.venv\Lib\site-packages\aiohttp\test_utils.py", "Python", 0, 0, 539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 122, 775
